id,publication,country,url,rss_available,rss_url,website_available,scrape_difficulty,editorial_category,marques_covered,drv247_relevance,enabled,source_type,rss_verified_status,rss_confidence
auto_001,Bonnet Magazine,UK,https://bonnetmagazine.com,no,,yes,medium,Automotive culture; classic; supercars; art; design; people; lifestyle,Ferrari; Porsche; Lamborghini; Aston Martin; Jaguar; Mercedes-Benz; BMW; broadly collector/supercars,Excellent: premium automotive culture; strong vehicle/entity tagging,True,scrape,no_public_rss_found,not_found
auto_002,The Road Rat,UK,https://theroadrat.com,no,,yes,medium,Automotive culture; engineering; design; racing history; people,Ferrari; Porsche; McLaren; BMW; Honda; Mercedes-Benz; broad performance/competition,Excellent: premium storytelling; ideal for vehicle-aware editorial,True,scrape,no_public_rss_found,not_found
auto_003,Magneto,UK,https://www.magnetomagazine.com,no,,yes,medium,Collector cars; classic; concours; history; people; events,Ferrari; Porsche; Jaguar; Aston Martin; Mercedes-Benz; Bentley; Alfa Romeo; broad collector,Excellent: classic/collector audience and events,True,scrape,no_public_rss_found,not_found
auto_004,The Intercooler,UK,https://www.the-intercooler.com,yes,https://www.the-intercooler.com/feed,yes,low,Long-form driving; engineering; design; people; motorsport; cars old/new,Porsche; Aston Martin; BMW; Lotus; Ferrari; broad performance,Excellent: deep editorial and model/marque relevance,True,rss,confirmed,verified
auto_005,Classic Driver,Germany/Switzerland,https://www.classicdriver.com/en,no,,yes,medium,Collector cars; classic; luxury; auctions; events; lifestyle,Ferrari; Porsche; Mercedes-Benz; BMW; Jaguar; Aston Martin; Lamborghini; broad collector,Excellent: editorial + marketplace + events,True,scrape,no_public_rss_found,not_found
auto_006,Auto & Design,Italy,https://autodesignmagazine.com/en/,yes,https://autodesignmagazine.com/en/feed/,yes,low,Automotive design; concepts; studios; designers; industry,All major OEMs; especially Ferrari; Lamborghini; Alfa Romeo; Maserati; Porsche,Excellent: design/culture layer,True,rss,confirmed,verified
auto_007,Octane,UK,https://www.octane-magazine.com,no,,yes,medium,Classic and performance cars; history; road tests; people; market,Jaguar; Ferrari; Porsche; Aston Martin; Bentley; Lotus; BMW; broad classic/performance,Excellent: classic/performance editorial,True,scrape,no_public_rss_found,not_found
auto_008,ramp,Germany,https://ramp.space,no,,yes,medium,Auto-culture; design; art; fashion; travel; lifestyle,Porsche; Ferrari; Mercedes-Benz; BMW; Lamborghini; broad premium,Excellent: closest European auto-culture analogue,True,scrape,no_public_rss_found,not_found
auto_009,Waft,Belgium,https://www.waft.be,yes,https://www.waft.be/feed,yes,low,Automotive culture; photography; road trips; design; lifestyle,Porsche; Ferrari; BMW; Mercedes-Benz; broad European enthusiast,Excellent: visual/culture,True,rss,confirmed,verified
auto_010,Curves,Switzerland/Germany,https://curves-magazin.com,no,,yes,medium,Driving roads; travel; photography; road culture,Porsche; classic/performance; broad sports cars,Excellent: road-trip/editorial relevance,True,scrape,no_public_rss_found,not_found
auto_011,Autoitaliana,Italy,https://www.autoitaliana.eu,no,,yes,medium,Italian cars; design; history; culture,Ferrari; Lamborghini; Alfa Romeo; Lancia; Maserati; Fiat,Excellent: Italian marques and design,True,scrape,no_public_rss_found,not_found
auto_012,AUTOMOBILSPORT,Germany,https://www.automobilsport-magazin.de/en/,no,,yes,medium,Historic motorsport; racing history; engineering; events,Porsche; BMW; Mercedes-Benz; Ford; Ferrari; Alfa Romeo; broad racing,Excellent: historic motorsport,True,scrape,no_public_rss_found,not_found
